seed,window_size,send_max_try,request_count,simulation_duration_s,simulator_accuracy,node_count,edge_probability,memory_size,query_time_s,link_rate_pairs_s,link_delay_s,link_buffer,algorithm,congestion_history_weight,smoothing_epsilon,mean_request_throughput_pairs_s,total_edr_pairs_s,completed_pairs,dropped_pairs,in_flight_pairs,request_edrs_pairs_s,edr_cv,topology_signature,request_pairs,mean_signal_gap,mean_abs_signal_gap
101,1,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,19.520000,97.600000,976,0,10,19.500000;19.500000;19.500000;19.500000;19.600000,0.002049,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.180000,0.180000
101,1,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,19.520000,97.600000,976,0,10,19.500000;19.500000;19.500000;19.500000;19.600000,0.002049,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.180000,0.180000
202,1,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,19.520000,97.600000,976,0,12,19.500000;19.500000;19.600000;19.500000;19.500000,0.002049,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.166667,0.166667
202,1,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,19.520000,97.600000,976,0,12,19.500000;19.500000;19.600000;19.500000;19.500000,0.002049,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.166667,0.166667
303,1,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,19.520000,97.600000,976,0,10,19.500000;19.500000;19.500000;19.500000;19.600000,0.002049,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.160000,0.160000
303,1,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,19.520000,97.600000,976,0,10,19.500000;19.500000;19.500000;19.500000;19.600000,0.002049,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.160000,0.160000
101,1,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,19.520000,97.600000,976,0,10,19.500000;19.500000;19.500000;19.500000;19.600000,0.002049,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.180000,0.180000
101,1,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,19.520000,97.600000,976,0,10,19.500000;19.500000;19.500000;19.500000;19.600000,0.002049,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.112500,0.112500
202,1,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,19.520000,97.600000,976,0,12,19.500000;19.500000;19.600000;19.500000;19.500000,0.002049,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.166667,0.166667
202,1,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,19.520000,97.600000,976,0,12,19.500000;19.500000;19.600000;19.500000;19.500000,0.002049,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.133333,0.133333
303,1,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,19.520000,97.600000,976,0,10,19.500000;19.500000;19.500000;19.500000;19.600000,0.002049,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.160000,0.160000
